Year,GDP_current_USD
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,8884848484.84848
1991,5344000000.0
1992,444658671.586716
1993,1570392598.14954
1994,1193141110.35043
1995,2417331192.9526
1996,3176507376.31836
1997,3962362387.47922
1998,4446368570.6901
1999,4581248566.50158
2000,5272615722.96892
2001,5707616203.72011
2002,6236087738.28284
2003,7276413079.11451
2004,8680405740.94125
2005,13245421880.834
2006,20981929497.6188
2007,33049419431.2244
2008,48851293785.4483
2009,44292427184.9492
2010,52909294791.9262
2011,65952796427.9473
2012,69679944504.1972
2013,74160560123.6902
2014,75239785452.1022
2015,53076235354.746
2016,37866996882.9157
2017,40866627351.9817
2018,47112470051.7701
2019,48174235294.1176
2020,42693000000.0
2021,54825411764.7059
2022,78807470588.2353
2023,72428470588.2353
2024,74315882352.9412
