fold_end_index,fold_train_end_ts,fold_test_start_ts,model,smape,mase
8,2021-10-01,2022-01-01,seasonal_naive,0.4792814573989907,1.638496506937703
8,2021-10-01,2022-01-01,sma4,0.22270194239801439,0.8816591153884387
8,2021-10-01,2022-01-01,ets,0.2838677164166816,1.151670172975692
8,2021-10-01,2022-01-01,sarima_grid,0.3196262680567292,1.1373344257023643
8,2021-10-01,2022-01-01,stl_arima,0.2907830748709124,1.3243203364012086
9,2022-01-01,2022-04-01,seasonal_naive,0.34648281048632673,1.6002788524651703
9,2022-01-01,2022-04-01,sma4,0.3517006854487666,1.6207625418612297
9,2022-01-01,2022-04-01,ets,0.2828193967686645,1.3025267389219333
9,2022-01-01,2022-04-01,sarima_grid,0.36993963964639703,1.691055976677971
9,2022-01-01,2022-04-01,stl_arima,0.038411056156759625,0.2101493267342299
10,2022-04-01,2022-07-01,seasonal_naive,0.47965821260136043,2.1668131787421725
10,2022-04-01,2022-07-01,sma4,0.3480554672554034,1.6640365114043003
10,2022-04-01,2022-07-01,ets,0.09918497018522447,0.54054211246423
10,2022-04-01,2022-07-01,sarima_grid,0.10752153729324984,0.5787219399965561
10,2022-04-01,2022-07-01,stl_arima,0.11974651556499522,0.6410320238550381
11,2022-07-01,2022-10-01,seasonal_naive,0.24494530321621794,1.2764932445045925
11,2022-07-01,2022-10-01,sma4,0.2473985753042596,1.2764932445045925
11,2022-07-01,2022-10-01,ets,0.275211725660663,1.4182227583590266
11,2022-07-01,2022-10-01,sarima_grid,0.22045401110502066,1.1192522341620534
11,2022-07-01,2022-10-01,stl_arima,0.21372929796061788,1.0844716773761083
12,2022-10-01,2023-01-01,seasonal_naive,0.18271910741977415,0.8190566396361716
12,2022-10-01,2023-01-01,sma4,0.15791439011394606,0.7476204530011531
12,2022-10-01,2023-01-01,ets,0.2768262029292447,1.4889890480612202
12,2022-10-01,2023-01-01,sarima_grid,1.9997003368631954,62006.36591065359
12,2022-10-01,2023-01-01,stl_arima,0.25981773833699734,1.3673374754965277
13,2023-01-01,2023-04-01,seasonal_naive,0.020048462265288485,0.09569328413888098
13,2023-01-01,2023-04-01,sma4,0.020049403077564847,0.09569328413888098
13,2023-01-01,2023-04-01,ets,0.24969179743220654,1.3613063269515338
13,2023-01-01,2023-04-01,sarima_grid,1.7656310735887497,204.39763581853512
13,2023-01-01,2023-04-01,stl_arima,0.2660849194696878,1.4641829198387941
14,2023-04-01,2023-07-01,seasonal_naive,0.08270740369102818,0.38879713171396396
14,2023-04-01,2023-07-01,sma4,0.05149269796268003,0.23571752462096285
14,2023-04-01,2023-07-01,ets,0.2248401689770383,1.1536777239774105
14,2023-04-01,2023-07-01,sarima_grid,0.45647389592206966,2.04907088074016
14,2023-04-01,2023-07-01,stl_arima,0.19491100431833647,0.9900527429603891
15,2023-07-01,2023-10-01,seasonal_naive,0.2920486626061467,1.554777174420001
15,2023-07-01,2023-10-01,sma4,0.0864817019476323,0.41061572307285926
15,2023-07-01,2023-10-01,ets,0.2228590255010197,1.1456704932013044
15,2023-07-01,2023-10-01,sarima_grid,2.0,2.4588121201317808e+61
15,2023-07-01,2023-10-01,stl_arima,0.20845507028713056,1.2081915843080022
16,2023-10-01,2024-01-01,seasonal_naive,0.2994076227967065,1.3890202622121073
16,2023-10-01,2024-01-01,sma4,0.1124173956585627,0.5868124455482785
16,2023-10-01,2024-01-01,ets,0.11428853382350143,0.6291322849069733
16,2023-10-01,2024-01-01,sarima_grid,2.0,12.825730779682258
16,2023-10-01,2024-01-01,stl_arima,0.25584351855081316,1.1564153352139692
17,2024-01-01,2024-04-01,seasonal_naive,0.17954244682967857,1.066733254897909
17,2024-01-01,2024-04-01,sma4,0.20634779609047532,1.2101965162419681
17,2024-01-01,2024-04-01,ets,0.033126867899295774,0.21313117358172207
17,2024-01-01,2024-04-01,sarima_grid,2.0,8.779529713407139e+62
17,2024-01-01,2024-04-01,stl_arima,0.08930426563383645,0.5981767041024042
18,2024-04-01,2024-07-01,seasonal_naive,0.1200547128405799,0.7180860142987368
18,2024-04-01,2024-07-01,sma4,0.150662467641541,0.8852030192324919
18,2024-04-01,2024-07-01,ets,0.05900218794504955,0.36695832271181594
18,2024-04-01,2024-07-01,sarima_grid,0.05746880645957471,0.35836936633608846
18,2024-04-01,2024-07-01,stl_arima,0.1106334115117587,0.6486957869769262
19,2024-07-01,2024-10-01,seasonal_naive,0.08251628290365665,0.45475127668161525
19,2024-07-01,2024-10-01,sma4,0.08258710705296977,0.45475127668161525
19,2024-07-01,2024-10-01,ets,0.12883797584004641,0.7453369133564826
19,2024-07-01,2024-10-01,sarima_grid,0.10780486546006868,0.6295856080269038
19,2024-07-01,2024-10-01,stl_arima,0.039843421587168824,0.2227708266158035
20,2024-10-01,2025-01-01,seasonal_naive,0.15494986196310756,0.8972218139659486
20,2024-10-01,2025-01-01,sma4,0.13494410242751112,0.7922345624265824
20,2024-10-01,2025-01-01,ets,0.08072393033174434,0.4694986028064119
20,2024-10-01,2025-01-01,sarima_grid,0.03963161351460446,0.2197803825279893
20,2024-10-01,2025-01-01,stl_arima,0.038216785436222075,0.23238399355109257
